CustomerID,Count,Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Satisfaction Score Label,Customer Status,Churn Label,Churn Value,Churn Score,Churn Score Category,CLTV,CLTV Category,Churn Category,Churn Reason
11,1,Female,79,Yes,Yes,Yes,3,United States,California,Los Angeles,92061,"33.10, -117.10",33.1,-117.1,Q3,Yes,4,64,Offer B,Yes,35,No,DSL,776,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,139.0,2701.23,11.8,27.39,30.43,5,Satisfied,Churned,No,1,44,1-10,4968,2000-2500,Competitor,Competitor offered more data
12,1,Female,59,No,Yes,No,3,United States,California,San Francisco,92062,"34.11, -118.11",34.11,-118.11,Q3,No,2,43,Offer D,No,40,Yes,DSL,29,No,No,No,Yes,Yes,Yes,No,No,Two Year,No,Bank Withdrawal,70.9,3243.19,0.92,14.21,39.14,4,Very Unsatisfied,Joined,No,1,76,11-20,3391,2500-3000,Competitor,Competitor had better devices
13,1,Male,65,No,Yes,Yes,4,United States,California,San Diego,92047,"35.12, -119.12",35.12,-119.12,Q3,Yes,4,41,Offer B,Yes,9,Yes,DSL,292,No,No,No,No,No,Yes,Yes,Yes,Two Year,No,Credit Card,137.86,7775.53,19.37,24.26,27.99,4,Very Satisfied,Stayed,Yes,1,34,21-30,5570,3000-3500,Price,Moved
14,1,Female,52,No,No,Yes,1,United States,California,San Francisco,92018,"36.13, -120.13",36.13,-120.13,Q3,Yes,2,53,Offer D,Yes,49,Yes,Fiber Optic,515,No,Yes,Yes,No,No,No,Yes,Yes,Two Year,No,Credit Card,137.86,5899.38,1.39,7.17,21.39,5,Very Satisfied,Joined,No,1,76,31-40,2141,3500-4000,Competitor,Moved
15,1,Female,52,No,Yes,Yes,1,United States,California,Los Angeles,92013,"37.14, -121.14",37.14,-121.14,Q3,No,4,42,Offer E,No,13,Yes,Cable,469,No,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,141.92,4672.24,13.25,12.86,34.93,4,Unsatisfied,Churned,No,0,68,41-50,6411,4000-4500,Dissatisfaction,Don't know
16,1,Female,59,No,No,No,1,United States,California,Los Angeles,92028,"33.15, -117.15",33.15,-117.15,Q3,Yes,3,14,Offer A,No,16,No,Fiber Optic,729,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,No,Credit Card,50.11,1080.39,0.27,3.43,35.09,4,Unsatisfied,Stayed,No,0,86,51-60,2353,4500-5000,Price,Competitor made better offer
17,1,Male,65,No,No,Yes,4,United States,California,San Diego,92095,"34.16, -118.16",34.16,-118.16,Q3,No,2,1,Offer D,No,45,Yes,DSL,914,Yes,No,No,Yes,No,No,Yes,Yes,One Year,No,Bank Withdrawal,144.62,2597.68,15.46,2.82,30.16,4,Very Satisfied,Churned,Yes,0,4,61-70,4290,5000-5500,Attitude,Price too high
18,1,Male,42,No,Yes,Yes,1,United States,California,San Diego,92000,"35.17, -119.17",35.17,-119.17,Q3,No,4,21,Offer B,Yes,2,Yes,Fiber Optic,929,No,Yes,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,79.83,5317.57,1.13,16.13,26.4,1,Satisfied,Joined,Yes,1,4,71-80,4044,5500-6000,Dissatisfaction,Competitor had better devices
19,1,Male,63,No,Yes,No,3,United States,California,San Diego,92023,"36.18, -120.18",36.18,-120.18,Q3,No,4,64,Offer B,Yes,24,No,Cable,349,Yes,No,No,No,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,123.36,6305.96,16.65,11.34,20.08,3,Very Unsatisfied,Churned,Yes,1,8,81-90,5902,6000-6500,Price,Service dissatisfaction
20,1,Female,36,No,Yes,Yes,3,United States,California,Los Angeles,92079,"37.19, -121.19",37.19,-121.19,Q3,Yes,4,45,Offer C,No,33,No,Fiber Optic,466,No,No,No,No,No,Yes,Yes,Yes,One Year,Yes,Mailed Check,81.0,7246.03,9.46,25.99,31.94,2,Very Unsatisfied,Joined,Yes,0,88,91-100,2252,6500-7000,Attitude,Moved
21,1,Female,26,No,No,No,4,United States,California,San Francisco,92096,"33.20, -117.20",33.2,-117.2,Q3,No,3,53,Offer B,No,9,Yes,No,915,Yes,No,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,62.25,156.54,12.51,21.56,37.84,3,Very Satisfied,Stayed,Yes,0,63,1-10,2860,2000-2500,Attitude,Competitor had better devices
22,1,Female,24,No,No,Yes,1,United States,California,Los Angeles,92069,"34.21, -118.21",34.21,-118.21,Q3,No,2,39,Offer B,Yes,44,No,Cable,391,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,86.71,3904.08,10.48,3.7,26.63,1,Very Satisfied,Joined,Yes,1,14,11-20,3319,2500-3000,Attitude,Competitor offered higher download speeds
23,1,Male,28,No,Yes,No,2,United States,California,San Francisco,92070,"35.22, -119.22",35.22,-119.22,Q3,No,1,52,Offer A,No,19,No,DSL,595,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,113.56,5664.62,7.07,15.06,32.93,1,Unsatisfied,Churned,No,0,17,21-30,4595,3000-3500,Attitude,Competitor had better devices
24,1,Male,24,No,No,Yes,2,United States,California,San Diego,92034,"36.23, -120.23",36.23,-120.23,Q3,No,3,71,Offer B,No,47,No,Cable,692,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,72.04,5460.93,1.95,19.89,34.13,5,Very Unsatisfied,Stayed,No,0,41,31-40,2600,3500-4000,Other,Competitor offered more data
25,1,Female,55,No,Yes,No,4,United States,California,San Francisco,92064,"37.24, -121.24",37.24,-121.24,Q3,Yes,4,35,Offer B,Yes,35,No,Cable,460,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,93.45,2407.47,14.27,7.44,41.86,5,Very Unsatisfied,Joined,No,0,76,41-50,4063,4000-4500,Price,Price too high
26,1,Female,77,No,No,Yes,2,United States,California,Los Angeles,92020,"33.25, -117.25",33.25,-117.25,Q3,Yes,2,70,Offer A,Yes,16,No,Fiber Optic,382,Yes,Yes,No,No,No,Yes,No,No,Two Year,No,Mailed Check,70.26,1311.0,17.77,18.4,13.36,3,Satisfied,Joined,No,0,13,51-60,3701,4500-5000,Attitude,Service dissatisfaction
27,1,Male,49,No,No,No,3,United States,California,San Diego,92064,"34.26, -118.26",34.26,-118.26,Q3,No,3,15,Offer A,No,37,No,No,779,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,124.96,518.61,15.31,26.96,40.59,1,Very Satisfied,Stayed,Yes,1,86,61-70,4700,5000-5500,Price,Competitor offered more data
28,1,Female,67,No,No,Yes,4,United States,California,San Diego,92045,"35.27, -119.27",35.27,-119.27,Q3,Yes,1,68,Offer D,Yes,4,Yes,DSL,844,No,No,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,82.7,4063.0,19.8,1.59,20.18,3,Very Satisfied,Joined,No,0,27,71-80,2963,5500-6000,Competitor,Service dissatisfaction
29,1,Male,74,No,Yes,No,2,United States,California,San Francisco,92010,"36.28, -120.28",36.28,-120.28,Q3,Yes,3,67,Offer C,No,20,Yes,Fiber Optic,410,No,Yes,No,No,Yes,Yes,Yes,No,One Year,No,Credit Card,104.11,1288.92,8.0,13.35,21.12,5,Satisfied,Joined,No,1,95,81-90,2457,6000-6500,Price,Moved
30,1,Male,48,No,Yes,No,2,United States,California,Los Angeles,92073,"37.29, -121.29",37.29,-121.29,Q3,Yes,2,69,Offer C,No,39,No,No,153,No,Yes,Yes,No,No,No,Yes,No,Two Year,No,Credit Card,102.83,2293.94,18.96,22.05,20.99,2,Very Unsatisfied,Joined,No,0,13,91-100,4883,6500-7000,Attitude,Moved
31,1,Female,21,No,Yes,No,0,United States,California,Los Angeles,92051,"33.30, -117.30",33.3,-117.3,Q3,No,1,38,Offer C,No,40,No,DSL,762,No,Yes,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,58.73,2126.29,2.79,5.04,37.12,2,Very Satisfied,Churned,Yes,0,1,1-10,6968,2000-2500,Price,Don't know
32,1,Male,47,No,No,Yes,4,United States,California,Los Angeles,92029,"34.31, -118.31",34.31,-118.31,Q3,No,3,46,Offer A,Yes,42,Yes,No,74,No,Yes,No,No,No,No,No,No,One Year,Yes,Credit Card,144.27,7176.29,11.85,4.18,41.77,3,Very Satisfied,Stayed,Yes,0,76,11-20,5435,2500-3000,Attitude,Competitor offered more data
33,1,Male,71,No,No,Yes,2,United States,California,San Diego,92056,"35.32, -119.32",35.32,-119.32,Q3,Yes,2,31,Offer C,Yes,17,Yes,No,239,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.59,4838.38,7.8,4.56,19.22,4,Satisfied,Stayed,Yes,0,74,21-30,3885,3000-3500,Competitor,Competitor offered more data
34,1,Female,41,No,No,No,2,United States,California,San Francisco,92010,"36.33, -120.33",36.33,-120.33,Q3,Yes,1,10,Offer C,Yes,49,No,Cable,539,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,108.16,6912.34,8.42,5.71,1.69,4,Unsatisfied,Churned,Yes,1,21,31-40,3367,3500-4000,Competitor,Attitude of support person
35,1,Female,75,No,No,No,2,United States,California,San Francisco,92063,"37.34, -121.34",37.34,-121.34,Q3,Yes,0,42,Offer A,Yes,18,Yes,DSL,535,Yes,No,No,No,No,Yes,Yes,Yes,Two Year,No,Mailed Check,104.27,3006.09,19.92,16.91,44.98,5,Satisfied,Joined,Yes,1,89,41-50,4274,4000-4500,Attitude,Service dissatisfaction
36,1,Male,69,Yes,Yes,Yes,3,United States,California,San Diego,92081,"33.35, -117.35",33.35,-117.35,Q3,Yes,0,42,Offer C,No,15,Yes,Fiber Optic,712,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,82.44,2222.39,16.67,5.84,0.33,5,Neutral,Churned,Yes,1,98,51-60,3624,4500-5000,Competitor,Competitor made better offer
37,1,Female,69,No,No,Yes,0,United States,California,Los Angeles,92019,"34.36, -118.36",34.36,-118.36,Q3,No,1,63,Offer A,No,1,Yes,No,124,Yes,Yes,Yes,No,Yes,No,No,No,Two Year,No,Mailed Check,77.38,3988.62,9.78,24.76,46.95,4,Unsatisfied,Joined,No,1,3,61-70,5279,5000-5500,Other,Competitor offered higher download speeds
38,1,Male,38,No,No,Yes,4,United States,California,San Francisco,92051,"35.37, -119.37",35.37,-119.37,Q3,No,2,49,Offer D,No,18,No,Fiber Optic,719,Yes,No,Yes,Yes,No,No,Yes,No,One Year,Yes,Credit Card,117.85,258.7,19.24,0.84,34.09,4,Neutral,Stayed,Yes,0,68,71-80,2231,5500-6000,Dissatisfaction,Moved
39,1,Female,19,No,No,Yes,1,United States,California,San Diego,92024,"36.38, -120.38",36.38,-120.38,Q3,Yes,2,21,Offer E,No,5,No,Cable,226,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Mailed Check,69.9,7518.03,4.59,29.02,16.98,5,Very Satisfied,Stayed,No,0,30,81-90,4488,6000-6500,Other,Attitude of support person
40,1,Male,32,No,No,No,4,United States,California,San Diego,92071,"37.39, -121.39",37.39,-121.39,Q3,No,1,28,Offer E,Yes,25,Yes,DSL,877,Yes,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Credit Card,125.83,7826.45,5.55,29.49,24.69,3,Very Satisfied,Joined,No,1,21,91-100,5542,6500-7000,Other,Attitude of support person
41,1,Female,28,No,Yes,Yes,0,United States,California,Los Angeles,92007,"33.40, -117.40",33.4,-117.4,Q3,No,3,33,Offer A,No,46,Yes,DSL,534,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,54.28,400.69,17.44,28.9,1.36,1,Very Unsatisfied,Joined,No,1,96,1-10,6396,2000-2500,Price,Price too high
42,1,Male,25,Yes,Yes,No,0,United States,California,Los Angeles,92010,"34.41, -118.41",34.41,-118.41,Q3,Yes,0,25,Offer A,Yes,24,Yes,DSL,388,No,Yes,No,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,145.11,3153.41,8.02,11.85,36.39,3,Neutral,Joined,Yes,1,12,11-20,2156,2500-3000,Dissatisfaction,Competitor made better offer
43,1,Female,32,No,No,Yes,0,United States,California,San Diego,92024,"35.42, -119.42",35.42,-119.42,Q3,No,2,4,Offer E,Yes,7,Yes,No,801,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,76.71,1278.03,15.21,19.3,29.25,2,Satisfied,Churned,No,1,66,21-30,2904,3000-3500,Other,Competitor had better devices
44,1,Male,41,Yes,Yes,No,3,United States,California,San Francisco,92021,"36.43, -120.43",36.43,-120.43,Q3,No,3,65,Offer E,No,4,No,No,911,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,102.01,6486.09,0.29,23.64,11.61,2,Unsatisfied,Churned,Yes,0,73,31-40,3618,3500-4000,Price,Service dissatisfaction
45,1,Male,55,No,No,No,2,United States,California,Los Angeles,92066,"37.44, -121.44",37.44,-121.44,Q3,No,3,9,Offer E,Yes,20,Yes,Cable,739,Yes,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,130.26,578.22,3.18,6.36,10.86,5,Very Unsatisfied,Stayed,No,0,47,41-50,3528,4000-4500,Dissatisfaction,Competitor had better devices
46,1,Female,19,No,Yes,Yes,1,United States,California,Los Angeles,92070,"33.45, -117.45",33.45,-117.45,Q3,Yes,4,23,Offer A,Yes,37,Yes,Fiber Optic,419,No,Yes,No,Yes,No,No,Yes,No,One Year,Yes,Mailed Check,57.93,159.38,18.0,7.46,18.41,2,Neutral,Churned,Yes,0,99,51-60,3430,4500-5000,Dissatisfaction,Competitor had better devices
47,1,Male,23,No,Yes,Yes,2,United States,California,San Francisco,92003,"34.46, -118.46",34.46,-118.46,Q3,Yes,2,6,Offer B,No,4,Yes,Fiber Optic,114,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,137.01,7596.12,5.96,2.0,0.77,3,Very Satisfied,Churned,No,0,57,61-70,6937,5000-5500,Price,Competitor had better devices
48,1,Female,52,No,No,Yes,4,United States,California,San Francisco,92011,"35.47, -119.47",35.47,-119.47,Q3,Yes,0,22,None,Yes,18,Yes,No,409,Yes,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Credit Card,118.04,493.59,9.96,4.48,41.62,5,Very Unsatisfied,Stayed,Yes,1,70,71-80,4112,5500-6000,Competitor,Moved
49,1,Female,69,No,No,Yes,0,United States,California,San Diego,92055,"36.48, -120.48",36.48,-120.48,Q3,Yes,4,40,Offer C,No,27,No,No,917,Yes,No,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Credit Card,67.98,2743.34,12.31,12.32,22.09,5,Very Satisfied,Churned,No,0,27,81-90,2955,6000-6500,Other,Competitor offered more data
50,1,Male,68,No,Yes,Yes,2,United States,California,San Francisco,92087,"37.49, -121.49",37.49,-121.49,Q3,No,4,16,Offer E,Yes,3,Yes,No,901,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,112.95,5342.83,0.13,17.86,1.44,3,Neutral,Churned,No,0,35,91-100,6640,6500-7000,Competitor,Competitor offered more data
51,1,Female,71,Yes,Yes,No,0,United States,California,Los Angeles,92011,"33.50, -117.50",33.5,-117.5,Q3,Yes,4,56,Offer A,Yes,16,Yes,Cable,532,No,No,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,148.51,7850.69,19.56,1.88,4.27,2,Satisfied,Stayed,No,0,92,1-10,2885,2000-2500,Price,Competitor made better offer
52,1,Male,24,No,No,Yes,0,United States,California,San Francisco,92000,"34.51, -118.51",34.51,-118.51,Q3,No,1,64,Offer A,Yes,21,Yes,No,123,Yes,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,No,Mailed Check,83.52,1066.18,13.43,2.85,22.3,1,Very Unsatisfied,Joined,No,0,76,11-20,3314,2500-3000,Attitude,Don't know
53,1,Male,21,No,Yes,Yes,1,United States,California,San Francisco,92059,"35.52, -119.52",35.52,-119.52,Q3,No,1,46,Offer B,Yes,20,Yes,DSL,234,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Mailed Check,59.99,7868.86,3.95,2.84,46.97,4,Unsatisfied,Stayed,No,0,100,21-30,6930,3000-3500,Attitude,Product dissatisfaction
54,1,Female,29,No,Yes,Yes,4,United States,California,San Diego,92083,"36.53, -120.53",36.53,-120.53,Q3,Yes,1,18,Offer B,No,14,Yes,DSL,334,Yes,No,Yes,No,Yes,No,Yes,No,One Year,Yes,Credit Card,136.69,5126.17,12.52,5.05,12.4,4,Neutral,Stayed,No,0,74,31-40,2811,3500-4000,Attitude,Competitor offered higher download speeds
55,1,Female,65,No,Yes,Yes,0,United States,California,Los Angeles,92051,"37.54, -121.54",37.54,-121.54,Q3,Yes,3,31,None,No,0,Yes,Cable,612,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,137.25,4866.7,11.15,6.36,19.59,3,Very Satisfied,Churned,Yes,1,62,41-50,5163,4000-4500,Other,Product dissatisfaction
56,1,Female,76,No,No,No,2,United States,California,Los Angeles,92063,"33.55, -117.55",33.55,-117.55,Q3,Yes,3,6,Offer A,Yes,45,No,Cable,513,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.98,2097.38,2.01,9.1,38.96,1,Very Satisfied,Joined,No,0,63,51-60,6668,4500-5000,Other,Attitude of support person
57,1,Female,74,No,Yes,Yes,2,United States,California,Los Angeles,92063,"34.56, -118.56",34.56,-118.56,Q3,No,1,22,Offer B,Yes,46,No,DSL,717,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,88.14,151.37,15.99,23.09,11.84,5,Neutral,Churned,No,1,11,61-70,3282,5000-5500,Attitude,Competitor had better devices
58,1,Male,66,No,No,No,3,United States,California,San Diego,92055,"35.57, -119.57",35.57,-119.57,Q3,No,4,22,None,Yes,23,Yes,DSL,366,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,74.52,3143.14,12.57,9.11,14.81,1,Very Satisfied,Stayed,Yes,0,48,71-80,2672,5500-6000,Dissatisfaction,Attitude of support person
59,1,Female,25,No,No,No,4,United States,California,Los Angeles,92056,"36.58, -120.58",36.58,-120.58,Q3,No,4,8,Offer B,No,13,No,DSL,366,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,117.35,3434.73,18.25,18.13,25.23,1,Very Satisfied,Joined,No,0,65,81-90,3583,6000-6500,Other,Don't know
60,1,Female,47,Yes,Yes,Yes,4,United States,California,San Francisco,92059,"37.59, -121.59",37.59,-121.59,Q3,No,2,55,None,Yes,27,No,DSL,992,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,137.08,3806.66,9.59,3.96,43.21,4,Very Satisfied,Churned,No,0,84,91-100,6769,6500-7000,Attitude,Competitor offered more data
61,1,Female,36,No,Yes,No,1,United States,California,Los Angeles,92001,"33.60, -117.60",33.6,-117.6,Q3,Yes,4,24,Offer A,Yes,38,Yes,Fiber Optic,447,No,No,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Mailed Check,82.53,5113.67,19.86,21.46,44.58,3,Neutral,Churned,Yes,1,35,1-10,5493,2000-2500,Price,Moved
62,1,Male,57,No,Yes,No,1,United States,California,Los Angeles,92025,"34.61, -118.61",34.61,-118.61,Q3,No,4,57,Offer C,No,33,No,Cable,317,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Mailed Check,108.51,4511.9,1.34,10.93,33.25,3,Very Unsatisfied,Churned,Yes,1,66,11-20,3237,2500-3000,Attitude,Competitor had better devices
63,1,Female,69,No,No,No,4,United States,California,San Francisco,92058,"35.62, -119.62",35.62,-119.62,Q3,No,0,46,Offer B,No,5,Yes,Cable,771,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,No,Mailed Check,87.18,5527.64,8.53,15.02,42.81,3,Satisfied,Stayed,No,0,30,21-30,2465,3000-3500,Attitude,Don't know
64,1,Female,28,No,Yes,Yes,3,United States,California,San Francisco,92066,"36.63, -120.63",36.63,-120.63,Q3,Yes,3,28,Offer D,Yes,40,No,Fiber Optic,558,No,Yes,No,No,No,No,No,No,Two Year,Yes,Credit Card,65.95,4550.54,16.48,21.3,37.57,2,Satisfied,Stayed,Yes,1,17,31-40,2990,3500-4000,Price,Price too high
65,1,Male,19,No,No,No,4,United States,California,Los Angeles,92091,"37.64, -121.64",37.64,-121.64,Q3,No,1,44,None,Yes,33,Yes,DSL,652,Yes,No,No,Yes,Yes,No,Yes,No,One Year,No,Credit Card,69.62,295.19,12.41,29.89,10.55,1,Unsatisfied,Stayed,No,1,14,41-50,3006,4000-4500,Attitude,Competitor made better offer
66,1,Male,62,No,No,Yes,4,United States,California,San Francisco,92057,"33.65, -117.65",33.65,-117.65,Q3,No,3,13,None,No,47,No,Cable,698,No,Yes,No,Yes,No,No,Yes,No,Two Year,Yes,Credit Card,102.44,4458.31,11.96,8.28,31.96,3,Very Satisfied,Churned,Yes,1,67,51-60,5067,4500-5000,Competitor,Competitor made better offer
67,1,Male,59,No,No,Yes,0,United States,California,San Diego,92003,"34.66, -118.66",34.66,-118.66,Q3,Yes,0,9,Offer A,No,13,Yes,DSL,526,Yes,No,Yes,No,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,83.0,6892.38,6.35,16.1,37.88,4,Very Satisfied,Joined,No,0,38,61-70,4500,5000-5500,Competitor,Price too high
68,1,Male,56,No,Yes,No,2,United States,California,San Diego,92030,"35.67, -119.67",35.67,-119.67,Q3,No,4,16,Offer A,No,38,Yes,No,415,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,123.53,1002.71,11.12,19.49,1.72,1,Neutral,Joined,No,0,24,71-80,2840,5500-6000,Competitor,Moved
69,1,Female,31,No,No,Yes,0,United States,California,Los Angeles,92013,"36.68, -120.68",36.68,-120.68,Q3,No,0,37,Offer E,Yes,45,No,Fiber Optic,348,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,51.04,760.23,9.81,17.77,27.08,1,Unsatisfied,Joined,No,1,48,81-90,4908,6000-6500,Other,Service dissatisfaction
