CustomerID,Count,Quarter,Satisfaction Score,Satisfaction Score Label,Customer Status,Churn Label,Churn Value,Churn Score,Churn Score Category,CLTV,CLTV Category,Churn Category,Churn Reason
33,1,Q3,4,Satisfied,Stayed,Yes,0,74,21-30,3885,3000-3500,Competitor,Competitor offered more data
34,1,Q3,4,Unsatisfied,Churned,Yes,1,21,31-40,3367,3500-4000,Competitor,Attitude of support person
35,1,Q3,5,Satisfied,Joined,Yes,1,89,41-50,4274,4000-4500,Attitude,Service dissatisfaction
36,1,Q3,5,Neutral,Churned,Yes,1,98,51-60,3624,4500-5000,Competitor,Competitor made better offer
37,1,Q3,4,Unsatisfied,Joined,No,1,3,61-70,5279,5000-5500,Other,Competitor offered higher download speeds
38,1,Q3,4,Neutral,Stayed,Yes,0,68,71-80,2231,5500-6000,Dissatisfaction,Moved
39,1,Q3,5,Very Satisfied,Stayed,No,0,30,81-90,4488,6000-6500,Other,Attitude of support person
40,1,Q3,3,Very Satisfied,Joined,No,1,21,91-100,5542,6500-7000,Other,Attitude of support person
41,1,Q3,1,Very Unsatisfied,Joined,No,1,96,1-10,6396,2000-2500,Price,Price too high
42,1,Q3,3,Neutral,Joined,Yes,1,12,11-20,2156,2500-3000,Dissatisfaction,Competitor made better offer
43,1,Q3,2,Satisfied,Churned,No,1,66,21-30,2904,3000-3500,Other,Competitor had better devices
44,1,Q3,2,Unsatisfied,Churned,Yes,0,73,31-40,3618,3500-4000,Price,Service dissatisfaction
45,1,Q3,5,Very Unsatisfied,Stayed,No,0,47,41-50,3528,4000-4500,Dissatisfaction,Competitor had better devices
46,1,Q3,2,Neutral,Churned,Yes,0,99,51-60,3430,4500-5000,Dissatisfaction,Competitor had better devices
47,1,Q3,3,Very Satisfied,Churned,No,0,57,61-70,6937,5000-5500,Price,Competitor had better devices
48,1,Q3,5,Very Unsatisfied,Stayed,Yes,1,70,71-80,4112,5500-6000,Competitor,Moved
49,1,Q3,5,Very Satisfied,Churned,No,0,27,81-90,2955,6000-6500,Other,Competitor offered more data
50,1,Q3,3,Neutral,Churned,No,0,35,91-100,6640,6500-7000,Competitor,Competitor offered more data
51,1,Q3,2,Satisfied,Stayed,No,0,92,1-10,2885,2000-2500,Price,Competitor made better offer
52,1,Q3,1,Very Unsatisfied,Joined,No,0,76,11-20,3314,2500-3000,Attitude,Don't know
53,1,Q3,4,Unsatisfied,Stayed,No,0,100,21-30,6930,3000-3500,Attitude,Product dissatisfaction
54,1,Q3,4,Neutral,Stayed,No,0,74,31-40,2811,3500-4000,Attitude,Competitor offered higher download speeds
55,1,Q3,3,Very Satisfied,Churned,Yes,1,62,41-50,5163,4000-4500,Other,Product dissatisfaction
56,1,Q3,1,Very Satisfied,Joined,No,0,63,51-60,6668,4500-5000,Other,Attitude of support person
57,1,Q3,5,Neutral,Churned,No,1,11,61-70,3282,5000-5500,Attitude,Competitor had better devices
58,1,Q3,1,Very Satisfied,Stayed,Yes,0,48,71-80,2672,5500-6000,Dissatisfaction,Attitude of support person
59,1,Q3,1,Very Satisfied,Joined,No,0,65,81-90,3583,6000-6500,Other,Don't know
60,1,Q3,4,Very Satisfied,Churned,No,0,84,91-100,6769,6500-7000,Attitude,Competitor offered more data
61,1,Q3,3,Neutral,Churned,Yes,1,35,1-10,5493,2000-2500,Price,Moved
62,1,Q3,3,Very Unsatisfied,Churned,Yes,1,66,11-20,3237,2500-3000,Attitude,Competitor had better devices
63,1,Q3,3,Satisfied,Stayed,No,0,30,21-30,2465,3000-3500,Attitude,Don't know
64,1,Q3,2,Satisfied,Stayed,Yes,1,17,31-40,2990,3500-4000,Price,Price too high
65,1,Q3,1,Unsatisfied,Stayed,No,1,14,41-50,3006,4000-4500,Attitude,Competitor made better offer
66,1,Q3,3,Very Satisfied,Churned,Yes,1,67,51-60,5067,4500-5000,Competitor,Competitor made better offer
67,1,Q3,4,Very Satisfied,Joined,No,0,38,61-70,4500,5000-5500,Competitor,Price too high
68,1,Q3,1,Neutral,Joined,No,0,24,71-80,2840,5500-6000,Competitor,Moved
69,1,Q3,1,Unsatisfied,Joined,No,1,48,81-90,4908,6000-6500,Other,Service dissatisfaction
70,1,Q3,2,Unsatisfied,Stayed,Yes,1,81,91-100,4358,6500-7000,Dissatisfaction,Competitor made better offer
71,1,Q3,5,Satisfied,Stayed,No,0,2,1-10,3703,2000-2500,Price,Competitor offered more data
72,1,Q3,2,Neutral,Joined,No,0,12,11-20,6237,2500-3000,Attitude,Price too high
73,1,Q3,3,Very Satisfied,Joined,Yes,0,86,21-30,2221,3000-3500,Competitor,Price too high
74,1,Q3,3,Very Satisfied,Churned,No,0,78,31-40,5587,3500-4000,Attitude,Product dissatisfaction
75,1,Q3,5,Very Satisfied,Churned,Yes,1,66,41-50,6116,4000-4500,Other,Moved
76,1,Q3,4,Very Unsatisfied,Stayed,Yes,1,56,51-60,4988,4500-5000,Dissatisfaction,Competitor had better devices
77,1,Q3,4,Neutral,Joined,No,1,22,61-70,3661,5000-5500,Attitude,Competitor made better offer
78,1,Q3,1,Satisfied,Joined,Yes,1,43,71-80,3836,5500-6000,Other,Competitor offered higher download speeds
79,1,Q3,5,Very Unsatisfied,Stayed,No,0,60,81-90,5137,6000-6500,Dissatisfaction,Price too high
80,1,Q3,3,Neutral,Stayed,No,1,82,91-100,4581,6500-7000,Other,Don't know
81,1,Q3,4,Unsatisfied,Stayed,No,0,3,1-10,2762,2000-2500,Dissatisfaction,Product dissatisfaction
82,1,Q3,5,Satisfied,Stayed,Yes,0,36,11-20,3100,2500-3000,Attitude,Product dissatisfaction
83,1,Q3,2,Very Satisfied,Churned,No,1,47,21-30,4220,3000-3500,Competitor,Competitor offered higher download speeds
84,1,Q3,3,Very Unsatisfied,Stayed,No,0,40,31-40,4622,3500-4000,Competitor,Competitor made better offer
85,1,Q3,2,Very Unsatisfied,Stayed,Yes,0,8,41-50,4205,4000-4500,Other,Competitor made better offer
86,1,Q3,1,Satisfied,Churned,No,1,21,51-60,5808,4500-5000,Attitude,Product dissatisfaction
87,1,Q3,3,Satisfied,Stayed,Yes,1,2,61-70,5673,5000-5500,Price,Competitor made better offer
88,1,Q3,1,Very Unsatisfied,Joined,No,1,41,71-80,6263,5500-6000,Attitude,Competitor had better devices
89,1,Q3,4,Very Satisfied,Joined,Yes,1,83,81-90,2938,6000-6500,Price,Competitor offered more data
90,1,Q3,4,Satisfied,Stayed,No,1,40,91-100,2725,6500-7000,Price,Service dissatisfaction
91,1,Q3,5,Neutral,Churned,No,1,3,1-10,2210,2000-2500,Other,Competitor made better offer
92,1,Q3,1,Very Unsatisfied,Stayed,Yes,0,40,11-20,5766,2500-3000,Dissatisfaction,Product dissatisfaction
93,1,Q3,1,Very Unsatisfied,Joined,No,1,26,21-30,5888,3000-3500,Competitor,Competitor had better devices
94,1,Q3,1,Unsatisfied,Churned,No,1,93,31-40,5592,3500-4000,Other,Competitor offered more data
95,1,Q3,2,Neutral,Joined,No,1,37,41-50,3828,4000-4500,Competitor,Attitude of support person
96,1,Q3,3,Very Unsatisfied,Joined,Yes,1,49,51-60,2417,4500-5000,Attitude,Moved
97,1,Q3,3,Unsatisfied,Churned,Yes,0,1,61-70,4645,5000-5500,Attitude,Competitor had better devices
98,1,Q3,5,Very Unsatisfied,Joined,No,0,65,71-80,5385,5500-6000,Competitor,Price too high
99,1,Q3,4,Neutral,Joined,No,0,44,81-90,2391,6000-6500,Dissatisfaction,Don't know
100,1,Q3,4,Unsatisfied,Joined,Yes,0,78,91-100,5479,6500-7000,Dissatisfaction,Service dissatisfaction
101,1,Q3,5,Very Satisfied,Stayed,Yes,1,86,1-10,6027,2000-2500,Dissatisfaction,Don't know
102,1,Q3,2,Unsatisfied,Stayed,Yes,0,78,11-20,5538,2500-3000,Price,Moved
103,1,Q3,2,Unsatisfied,Joined,No,1,40,21-30,5455,3000-3500,Competitor,Product dissatisfaction
104,1,Q3,2,Very Unsatisfied,Joined,No,0,96,31-40,2977,3500-4000,Attitude,Attitude of support person
105,1,Q3,1,Neutral,Stayed,No,1,84,41-50,5386,4000-4500,Price,Price too high
106,1,Q3,5,Unsatisfied,Churned,No,1,10,51-60,5730,4500-5000,Competitor,Competitor offered more data
107,1,Q3,2,Neutral,Stayed,Yes,0,24,61-70,3785,5000-5500,Price,Price too high
108,1,Q3,5,Very Unsatisfied,Churned,No,1,86,71-80,5735,5500-6000,Other,Service dissatisfaction
109,1,Q3,1,Satisfied,Stayed,Yes,1,88,81-90,2984,6000-6500,Attitude,Price too high
110,1,Q3,4,Satisfied,Churned,No,1,5,91-100,4907,6500-7000,Attitude,Competitor offered higher download speeds
111,1,Q3,2,Very Unsatisfied,Stayed,Yes,1,5,1-10,3114,2000-2500,Other,Product dissatisfaction
112,1,Q3,1,Very Satisfied,Stayed,Yes,1,36,11-20,6286,2500-3000,Attitude,Don't know
113,1,Q3,4,Satisfied,Joined,No,1,90,21-30,6177,3000-3500,Price,Moved
114,1,Q3,5,Satisfied,Stayed,No,0,56,31-40,2189,3500-4000,Attitude,Service dissatisfaction
115,1,Q3,4,Unsatisfied,Churned,No,0,7,41-50,5073,4000-4500,Other,Competitor offered higher download speeds
116,1,Q3,5,Satisfied,Stayed,Yes,0,38,51-60,5939,4500-5000,Attitude,Competitor made better offer
117,1,Q3,4,Satisfied,Joined,Yes,1,34,61-70,5059,5000-5500,Dissatisfaction,Price too high
118,1,Q3,1,Neutral,Joined,No,1,50,71-80,4777,5500-6000,Other,Don't know
119,1,Q3,2,Satisfied,Joined,Yes,0,15,81-90,2844,6000-6500,Price,Price too high
120,1,Q3,2,Very Unsatisfied,Stayed,Yes,0,62,91-100,2083,6500-7000,Price,Competitor made better offer
121,1,Q3,4,Very Satisfied,Stayed,Yes,0,39,1-10,2011,2000-2500,Dissatisfaction,Service dissatisfaction
122,1,Q3,2,Neutral,Stayed,No,0,37,11-20,2303,2500-3000,Other,Moved
123,1,Q3,1,Unsatisfied,Stayed,No,1,28,21-30,2236,3000-3500,Competitor,Competitor offered more data
124,1,Q3,2,Very Satisfied,Churned,Yes,1,66,31-40,6415,3500-4000,Attitude,Moved
125,1,Q3,2,Very Unsatisfied,Joined,Yes,1,92,41-50,2681,4000-4500,Price,Attitude of support person
126,1,Q3,2,Very Satisfied,Stayed,Yes,1,87,51-60,2309,4500-5000,Price,Product dissatisfaction
127,1,Q3,2,Satisfied,Stayed,No,0,8,61-70,2443,5000-5500,Attitude,Competitor offered higher download speeds
128,1,Q3,4,Very Satisfied,Stayed,No,1,47,71-80,3842,5500-6000,Price,Price too high
129,1,Q3,4,Satisfied,Stayed,No,0,29,81-90,5830,6000-6500,Attitude,Service dissatisfaction
130,1,Q3,3,Very Satisfied,Joined,No,1,61,91-100,3251,6500-7000,Dissatisfaction,Competitor offered more data
131,1,Q3,1,Unsatisfied,Joined,No,1,51,1-10,3552,2000-2500,Dissatisfaction,Price too high
132,1,Q3,1,Very Unsatisfied,Joined,Yes,0,55,11-20,2218,2500-3000,Other,Competitor offered more data
133,1,Q3,2,Very Unsatisfied,Churned,Yes,1,39,21-30,3529,3000-3500,Competitor,Product dissatisfaction
134,1,Q3,5,Unsatisfied,Stayed,Yes,0,85,31-40,4425,3500-4000,Price,Competitor had better devices
135,1,Q3,3,Unsatisfied,Churned,No,1,56,41-50,2752,4000-4500,Competitor,Attitude of support person
136,1,Q3,2,Satisfied,Stayed,Yes,1,70,51-60,4064,4500-5000,Attitude,Don't know
137,1,Q3,4,Unsatisfied,Churned,Yes,0,57,61-70,2845,5000-5500,Other,Price too high
138,1,Q3,1,Very Unsatisfied,Joined,No,1,97,71-80,4450,5500-6000,Price,Attitude of support person
139,1,Q3,2,Unsatisfied,Stayed,Yes,0,71,81-90,5505,6000-6500,Price,Don't know
140,1,Q3,4,Unsatisfied,Joined,No,0,60,91-100,5938,6500-7000,Dissatisfaction,Attitude of support person
141,1,Q3,2,Very Satisfied,Joined,Yes,1,97,1-10,3239,2000-2500,Attitude,Moved
142,1,Q3,5,Satisfied,Joined,Yes,0,62,11-20,3591,2500-3000,Attitude,Competitor made better offer
143,1,Q3,5,Very Unsatisfied,Joined,No,1,60,21-30,4882,3000-3500,Price,Attitude of support person
144,1,Q3,3,Unsatisfied,Stayed,No,1,92,31-40,5841,3500-4000,Attitude,Competitor offered more data
145,1,Q3,1,Very Unsatisfied,Churned,No,0,99,41-50,6663,4000-4500,Dissatisfaction,Competitor made better offer
146,1,Q3,3,Neutral,Churned,No,0,93,51-60,6100,4500-5000,Dissatisfaction,Competitor made better offer
147,1,Q3,3,Unsatisfied,Joined,No,0,47,61-70,6315,5000-5500,Price,Moved
148,1,Q3,1,Satisfied,Stayed,No,1,11,71-80,3211,5500-6000,Price,Product dissatisfaction
149,1,Q3,1,Very Unsatisfied,Churned,Yes,0,47,81-90,2118,6000-6500,Price,Competitor offered more data
150,1,Q3,4,Unsatisfied,Joined,Yes,1,70,91-100,2098,6500-7000,Price,Competitor offered higher download speeds
151,1,Q3,5,Satisfied,Stayed,No,0,66,1-10,5011,2000-2500,Competitor,Competitor offered more data
152,1,Q3,3,Neutral,Stayed,No,0,91,11-20,5430,2500-3000,Other,Competitor had better devices
153,1,Q3,3,Neutral,Churned,No,1,57,21-30,5009,3000-3500,Other,Competitor offered more data
154,1,Q3,2,Very Satisfied,Stayed,Yes,1,56,31-40,3657,3500-4000,Other,Price too high
155,1,Q3,5,Very Satisfied,Churned,Yes,1,49,41-50,5753,4000-4500,Competitor,Competitor had better devices
156,1,Q3,5,Neutral,Joined,No,1,69,51-60,4959,4500-5000,Dissatisfaction,Product dissatisfaction
157,1,Q3,4,Very Satisfied,Joined,No,0,61,61-70,5867,5000-5500,Dissatisfaction,Service dissatisfaction
158,1,Q3,5,Satisfied,Joined,Yes,0,56,71-80,5471,5500-6000,Dissatisfaction,Product dissatisfaction
159,1,Q3,2,Very Satisfied,Joined,Yes,0,46,81-90,5363,6000-6500,Competitor,Competitor had better devices
160,1,Q3,1,Unsatisfied,Joined,Yes,1,46,91-100,5025,6500-7000,Attitude,Moved
161,1,Q3,1,Neutral,Joined,Yes,0,43,1-10,6211,2000-2500,Other,Competitor had better devices
162,1,Q3,1,Neutral,Joined,No,1,70,11-20,4740,2500-3000,Competitor,Service dissatisfaction
163,1,Q3,3,Very Satisfied,Churned,No,0,50,21-30,6272,3000-3500,Dissatisfaction,Service dissatisfaction
164,1,Q3,2,Satisfied,Joined,No,0,48,31-40,3799,3500-4000,Competitor,Competitor had better devices
165,1,Q3,1,Satisfied,Stayed,Yes,1,73,41-50,5502,4000-4500,Price,Competitor had better devices
166,1,Q3,2,Satisfied,Joined,No,0,62,51-60,5198,4500-5000,Attitude,Don't know
167,1,Q3,5,Satisfied,Joined,Yes,0,14,61-70,5260,5000-5500,Competitor,Competitor made better offer
168,1,Q3,2,Unsatisfied,Churned,Yes,0,8,71-80,5034,5500-6000,Attitude,Service dissatisfaction
169,1,Q3,1,Satisfied,Joined,No,1,47,81-90,2554,6000-6500,Other,Product dissatisfaction
170,1,Q3,2,Very Satisfied,Stayed,No,0,79,91-100,6650,6500-7000,Other,Service dissatisfaction
171,1,Q3,5,Unsatisfied,Stayed,Yes,0,50,1-10,2215,2000-2500,Dissatisfaction,Competitor offered more data
172,1,Q3,4,Unsatisfied,Churned,No,0,57,11-20,3380,2500-3000,Other,Product dissatisfaction
173,1,Q3,3,Very Unsatisfied,Churned,No,1,10,21-30,2310,3000-3500,Price,Competitor offered higher download speeds
174,1,Q3,1,Neutral,Churned,No,1,27,31-40,6132,3500-4000,Dissatisfaction,Service dissatisfaction
175,1,Q3,1,Neutral,Churned,No,0,42,41-50,2459,4000-4500,Competitor,Price too high
176,1,Q3,5,Unsatisfied,Churned,No,1,11,51-60,3040,4500-5000,Dissatisfaction,Competitor offered more data
177,1,Q3,3,Very Satisfied,Stayed,Yes,1,54,61-70,5382,5000-5500,Attitude,Don't know
178,1,Q3,3,Satisfied,Churned,No,0,9,71-80,6509,5500-6000,Competitor,Price too high
179,1,Q3,3,Unsatisfied,Churned,No,1,34,81-90,5570,6000-6500,Competitor,Service dissatisfaction
180,1,Q3,4,Unsatisfied,Churned,No,1,99,91-100,6196,6500-7000,Other,Competitor made better offer
181,1,Q3,1,Unsatisfied,Stayed,No,1,52,1-10,5669,2000-2500,Attitude,Competitor offered more data
182,1,Q3,3,Unsatisfied,Stayed,No,0,22,11-20,6134,2500-3000,Other,Product dissatisfaction
183,1,Q3,4,Satisfied,Joined,Yes,1,9,21-30,4973,3000-3500,Attitude,Don't know
184,1,Q3,1,Very Unsatisfied,Churned,No,1,30,31-40,2149,3500-4000,Price,Moved
185,1,Q3,3,Neutral,Joined,No,0,29,41-50,2888,4000-4500,Competitor,Service dissatisfaction
186,1,Q3,4,Unsatisfied,Joined,No,1,17,51-60,5548,4500-5000,Dissatisfaction,Attitude of support person
187,1,Q3,3,Satisfied,Churned,No,0,21,61-70,6689,5000-5500,Dissatisfaction,Service dissatisfaction
188,1,Q3,1,Very Unsatisfied,Joined,Yes,1,43,71-80,5755,5500-6000,Competitor,Competitor offered higher download speeds
189,1,Q3,1,Neutral,Stayed,No,0,34,81-90,6634,6000-6500,Attitude,Moved
190,1,Q3,1,Very Satisfied,Stayed,No,0,90,91-100,5524,6500-7000,Dissatisfaction,Competitor had better devices
191,1,Q3,2,Satisfied,Joined,No,1,44,1-10,6692,2000-2500,Price,Competitor offered higher download speeds
192,1,Q3,3,Very Unsatisfied,Stayed,Yes,0,6,11-20,5116,2500-3000,Price,Attitude of support person
193,1,Q3,3,Very Satisfied,Stayed,Yes,0,1,21-30,5157,3000-3500,Price,Moved
194,1,Q3,1,Unsatisfied,Joined,No,1,49,31-40,3747,3500-4000,Dissatisfaction,Competitor offered more data
195,1,Q3,3,Very Unsatisfied,Joined,Yes,0,44,41-50,2024,4000-4500,Attitude,Price too high
196,1,Q3,5,Satisfied,Stayed,No,0,56,51-60,2307,4500-5000,Other,Competitor had better devices
197,1,Q3,1,Very Unsatisfied,Churned,Yes,0,69,61-70,2193,5000-5500,Other,Service dissatisfaction
198,1,Q3,3,Very Unsatisfied,Stayed,Yes,0,96,71-80,4435,5500-6000,Attitude,Service dissatisfaction
199,1,Q3,4,Satisfied,Stayed,No,0,3,81-90,6924,6000-6500,Dissatisfaction,Attitude of support person
200,1,Q3,4,Neutral,Joined,Yes,1,10,91-100,5973,6500-7000,Other,Attitude of support person
201,1,Q3,4,Very Satisfied,Churned,No,1,2,1-10,3422,2000-2500,Price,Competitor had better devices
202,1,Q3,4,Unsatisfied,Churned,No,1,10,11-20,3257,2500-3000,Competitor,Competitor had better devices
203,1,Q3,3,Satisfied,Joined,No,0,73,21-30,4698,3000-3500,Other,Don't know
204,1,Q3,1,Very Unsatisfied,Stayed,No,0,83,31-40,6529,3500-4000,Attitude,Price too high
205,1,Q3,4,Unsatisfied,Stayed,Yes,0,17,41-50,4015,4000-4500,Competitor,Don't know
206,1,Q3,2,Unsatisfied,Joined,Yes,1,52,51-60,3596,4500-5000,Competitor,Competitor had better devices
207,1,Q3,1,Neutral,Stayed,Yes,0,18,61-70,5141,5000-5500,Attitude,Don't know
208,1,Q3,5,Unsatisfied,Churned,No,0,39,71-80,3495,5500-6000,Dissatisfaction,Price too high
209,1,Q3,5,Neutral,Joined,No,0,86,81-90,5946,6000-6500,Other,Attitude of support person
210,1,Q3,5,Unsatisfied,Stayed,No,0,16,91-100,2893,6500-7000,Dissatisfaction,Competitor had better devices
211,1,Q3,4,Very Satisfied,Stayed,No,0,64,1-10,5344,2000-2500,Dissatisfaction,Service dissatisfaction
212,1,Q3,1,Very Satisfied,Stayed,No,1,46,11-20,4198,2500-3000,Competitor,Competitor offered higher download speeds
213,1,Q3,1,Unsatisfied,Churned,Yes,1,22,21-30,3149,3000-3500,Other,Moved
214,1,Q3,3,Neutral,Churned,No,0,86,31-40,6606,3500-4000,Competitor,Competitor had better devices
215,1,Q3,4,Unsatisfied,Joined,No,0,62,41-50,5193,4000-4500,Price,Competitor made better offer
216,1,Q3,5,Unsatisfied,Churned,No,1,86,51-60,2081,4500-5000,Attitude,Moved
217,1,Q3,2,Satisfied,Stayed,No,0,44,61-70,5665,5000-5500,Price,Service dissatisfaction
218,1,Q3,5,Unsatisfied,Churned,Yes,1,17,71-80,4982,5500-6000,Price,Price too high
219,1,Q3,4,Very Unsatisfied,Joined,Yes,1,66,81-90,5820,6000-6500,Other,Competitor offered higher download speeds
220,1,Q3,3,Neutral,Stayed,Yes,0,20,91-100,6277,6500-7000,Competitor,Competitor made better offer
221,1,Q3,1,Neutral,Stayed,No,1,93,1-10,5298,2000-2500,Dissatisfaction,Competitor offered more data
222,1,Q3,3,Neutral,Joined,No,0,56,11-20,6733,2500-3000,Other,Competitor made better offer
223,1,Q3,4,Neutral,Stayed,No,1,21,21-30,5033,3000-3500,Competitor,Service dissatisfaction
224,1,Q3,3,Neutral,Churned,No,0,47,31-40,3826,3500-4000,Attitude,Competitor offered more data
225,1,Q3,4,Unsatisfied,Stayed,Yes,1,46,41-50,2323,4000-4500,Competitor,Product dissatisfaction
226,1,Q3,4,Very Satisfied,Churned,Yes,1,69,51-60,5326,4500-5000,Dissatisfaction,Product dissatisfaction
227,1,Q3,2,Very Unsatisfied,Stayed,No,1,17,61-70,5842,5000-5500,Other,Moved
228,1,Q3,2,Very Satisfied,Stayed,No,0,78,71-80,2050,5500-6000,Dissatisfaction,Product dissatisfaction
229,1,Q3,1,Satisfied,Churned,Yes,0,58,81-90,6890,6000-6500,Competitor,Don't know
230,1,Q3,5,Very Unsatisfied,Churned,Yes,1,11,91-100,3232,6500-7000,Attitude,Competitor had better devices
231,1,Q3,3,Unsatisfied,Joined,Yes,0,29,1-10,2425,2000-2500,Competitor,Competitor offered higher download speeds
232,1,Q3,2,Satisfied,Churned,No,0,97,11-20,6673,2500-3000,Attitude,Moved
233,1,Q3,2,Satisfied,Stayed,Yes,1,69,21-30,6918,3000-3500,Attitude,Competitor offered more data
234,1,Q3,2,Unsatisfied,Joined,Yes,0,47,31-40,3593,3500-4000,Other,Don't know
235,1,Q3,4,Satisfied,Joined,Yes,0,45,41-50,4901,4000-4500,Other,Competitor offered higher download speeds
236,1,Q3,2,Unsatisfied,Churned,No,1,5,51-60,5762,4500-5000,Price,Competitor offered more data
237,1,Q3,3,Unsatisfied,Churned,Yes,0,16,61-70,6233,5000-5500,Dissatisfaction,Attitude of support person
238,1,Q3,2,Very Satisfied,Churned,No,0,95,71-80,3740,5500-6000,Other,Don't know
239,1,Q3,5,Unsatisfied,Churned,No,1,38,81-90,5601,6000-6500,Dissatisfaction,Service dissatisfaction
240,1,Q3,3,Very Satisfied,Joined,No,1,53,91-100,4264,6500-7000,Dissatisfaction,Competitor made better offer
241,1,Q3,1,Satisfied,Stayed,Yes,1,39,1-10,3065,2000-2500,Attitude,Attitude of support person
242,1,Q3,1,Very Unsatisfied,Churned,Yes,1,72,11-20,4140,2500-3000,Attitude,Service dissatisfaction
243,1,Q3,3,Very Unsatisfied,Churned,Yes,1,25,21-30,3515,3000-3500,Attitude,Competitor offered higher download speeds
244,1,Q3,4,Neutral,Stayed,No,1,69,31-40,6416,3500-4000,Other,Service dissatisfaction
245,1,Q3,2,Satisfied,Joined,No,0,24,41-50,3928,4000-4500,Price,Attitude of support person
246,1,Q3,4,Unsatisfied,Churned,No,1,45,51-60,3258,4500-5000,Competitor,Competitor offered more data
247,1,Q3,4,Unsatisfied,Joined,Yes,0,2,61-70,2274,5000-5500,Dissatisfaction,Competitor offered higher download speeds
248,1,Q3,2,Very Satisfied,Churned,No,1,88,71-80,4432,5500-6000,Competitor,Moved
249,1,Q3,3,Very Unsatisfied,Stayed,No,0,66,81-90,6870,6000-6500,Dissatisfaction,Competitor offered higher download speeds
250,1,Q3,1,Very Satisfied,Joined,No,1,1,91-100,5125,6500-7000,Dissatisfaction,Attitude of support person
251,1,Q3,4,Unsatisfied,Churned,Yes,0,10,1-10,3157,2000-2500,Competitor,Competitor offered higher download speeds
252,1,Q3,3,Satisfied,Churned,No,1,89,11-20,4491,2500-3000,Price,Moved
